Index  ,Expanded ,Fringe ,Depth ,Path
s18:h3 ,      26 ,    50 ,   11 ,"['right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left']"
s18:h4 ,      32 ,    59 ,   11 ,"['right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left']"
s19:h1 ,       1 ,     4 ,    1 ,['left']
s19:h2 ,       1 ,     4 ,    1 ,['left']
s19:h3 ,       1 ,     4 ,    1 ,['left']
s19:h4 ,       1 ,     4 ,    1 ,['left']
s20:h1 ,       5 ,    10 ,    5 ,"['right', 'up', 'up', 'left', 'left']"
s20:h2 ,       5 ,    10 ,    5 ,"['right', 'up', 'up', 'left', 'left']"
s20:h3 ,       5 ,    10 ,    5 ,"['right', 'up', 'up', 'left', 'left']"
s20:h4 ,       5 ,    10 ,    5 ,"['right', 'up', 'up', 'left', 'left']"
s21:h1 ,       1 ,     4 ,    1 ,['up']
s21:h2 ,       1 ,     4 ,    1 ,['up']
s21:h3 ,       1 ,     4 ,    1 ,['up']
s21:h4 ,       1 ,     4 ,    1 ,['up']
s22:h1 ,      14 ,    28 ,    7 ,"['down', 'right', 'down', 'left', 'up', 'up', 'left']"
s22:h2 ,      10 ,    21 ,    7 ,"['down', 'right', 'down', 'left', 'up', 'up', 'left']"
s22:h3 ,      10 ,    21 ,    7 ,"['down', 'right', 'down', 'left', 'up', 'up', 'left']"
s22:h4 ,      10 ,    21 ,    7 ,"['down', 'right', 'down', 'left', 'up', 'up', 'left']"
s23:h1 ,       9 ,    17 ,    7 ,"['down', 'down', 'right', 'up', 'up', 'left', 'left']"
s23:h2 ,       8 ,    16 ,    7 ,"['down', 'down', 'right', 'up', 'up', 'left', 'left']"
s23:h3 ,       8 ,    16 ,    7 ,"['down', 'down', 'right', 'up', 'up', 'left', 'left']"
s23:h4 ,       8 ,    16 ,    7 ,"['down', 'down', 'right', 'up', 'up', 'left', 'left']"
s24:h1 ,      22 ,    40 ,    9 ,"['left', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left']"
s24:h2 ,      11 ,    23 ,    9 ,"['left', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left']"
s24:h3 ,      11 ,    23 ,    9 ,"['left', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left']"
s24:h4 ,      11 ,    23 ,    9 ,"['left', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left']"
s25:h1 ,      14 ,    27 ,    7 ,"['down', 'left', 'down', 'right', 'up', 'left', 'up']"
s25:h2 ,       8 ,    18 ,    7 ,"['down', 'left', 'down', 'right', 'up', 'left', 'up']"
s25:h3 ,       8 ,    18 ,    7 ,"['down', 'left', 'down', 'right', 'up', 'left', 'up']"
s25:h4 ,       8 ,    18 ,    7 ,"['down', 'left', 'down', 'right', 'up', 'left', 'up']"
s26:h1 ,      14 ,    28 ,    7 ,"['right', 'down', 'right', 'up', 'left', 'left', 'up']"
s26:h2 ,      10 ,    21 ,    7 ,"['right', 'down', 'right', 'up', 'left', 'left', 'up']"
s26:h3 ,      10 ,    21 ,    7 ,"['right', 'down', 'right', 'up', 'left', 'left', 'up']"
s26:h4 ,      10 ,    21 ,    7 ,"['right', 'down', 'right', 'up', 'left', 'left', 'up']"
s27:h1 ,      13 ,    27 ,    7 ,"['up', 'up', 'right', 'down', 'left', 'left', 'up']"
s27:h2 ,       9 ,    20 ,    7 ,"['up', 'up', 'right', 'down', 'left', 'left', 'up']"
s27:h3 ,       9 ,    20 ,    7 ,"['up', 'up', 'right', 'down', 'left', 'left', 'up']"
s27:h4 ,       9 ,    20 ,    7 ,"['up', 'up', 'right', 'down', 'left', 'left', 'up']"
s28:h1 ,     955 ,  1536 ,   16 ,"['up', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'left']"
s28:h2 ,     185 ,   298 ,   17 ,"['up', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'left']"
s28:h3 ,     143 ,   233 ,   17 ,"['up', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'left']"
s28:h4 ,     288 ,   479 ,   17 ,"['up', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'left']"
s29:h1 ,      14 ,    29 ,    7 ,"['up', 'right', 'right', 'down', 'left', 'up', 'left']"
s29:h2 ,       9 ,    19 ,    7 ,"['up', 'right', 'right', 'down', 'left', 'up', 'left']"
s29:h3 ,       9 ,    19 ,    7 ,"['up', 'right', 'right', 'down', 'left', 'up', 'left']"
s29:h4 ,       9 ,    19 ,    7 ,"['up', 'right', 'right', 'down', 'left', 'up', 'left']"
s30:h1 ,     173 ,   288 ,   13 ,"['left', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left']"
s30:h2 ,      62 ,   106 ,   13 ,"['left', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left']"
s30:h3 ,      60 ,   103 ,   13 ,"['left', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left']"
s30:h4 ,      80 ,   135 ,   13 ,"['left', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left']"
s31:h1 ,      32 ,    60 ,    9 ,"['up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'up']"
s31:h2 ,      15 ,    29 ,    9 ,"['up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'up']"
s31:h3 ,      15 ,    29 ,    9 ,"['up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'up']"
s31:h4 ,      17 ,    34 ,    9 ,"['up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'up']"
s32:h1 ,     121 ,   207 ,   13 ,"['left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'up']"
s32:h2 ,      23 ,    41 ,   13 ,"['left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'up']"
s32:h3 ,      23 ,    41 ,   13 ,"['left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'up']"
s32:h4 ,      41 ,    74 ,   13 ,"['left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'up']"
s33:h1 ,      24 ,    49 ,    9 ,"['right', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'left']"
s33:h2 ,      12 ,    24 ,    9 ,"['right', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'left']"
s33:h3 ,      12 ,    24 ,    9 ,"['right', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'left']"
s33:h4 ,      12 ,    24 ,    9 ,"['right', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'left']"
s34:h1 ,      73 ,   125 ,   11 ,"['left', 'down', 'right', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'up']"
s34:h2 ,      25 ,    47 ,   11 ,"['left', 'down', 'right', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'up']"
s34:h3 ,      24 ,    45 ,   11 ,"['left', 'down', 'right', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'up']"
s34:h4 ,      43 ,    75 ,   11 ,"['left', 'down', 'right', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'up']"
